Column1	Column2
wa?aani	99
warde	99
wasiyaaji	99
wood	99
yer?o	99
ar?o	98
?amtude	98
depiteeji	98
hujja	98
janngi	98
keerol	98
kulibali	98
leurs	98
mba?ata	98
ngenndiyanke	98
sénégal	98
seppooji	98
waawnoo	98
wonta	98
wune	98
artiraa?e	97
ba??o	97
bagboo	97
funee?e	97
gelaajo	97
haanirta	97
jannginoowo	97
jogii?o	97
koreeji	97
meer	97
miijaade	97
nande	97
onu	97
sankaraa	97
siree	97
tii?i	97
toutes	97
wi?too?e	97
adan	96
?anngal	96
eehey	96
gawri	96
jokkere	96
maggal	96
mawningol	96
michael	96
nawi	96
ngon?en	96
saharaa	96
sifaaji	96
waylii	96
wee?aani	96
altine	95
anndu	95
dadii?e	95
konaakiri	95
kuutoragol	95
limoore	95
mbayi	95
naatgol	95
ndañii	95
ngon-?en	95
nuuru	95
sar?i	95
weendu	95
wi’de	95
wooda	95
ardorde	94
baw?i	94
bonanndeeji	94
depitee	94
hammee	94
naala?kaagal	94
njiyii	94
njoo?ii	94
pittaali	94
sato	94
siilto	94
wallude	94
wonnoo?e	94
bamako	93
buubu	93
heedde	93
islaam	93
jonte	93
keerii?o	93
mawngo	93
ndunngu	93
noppi	93
riisi	93
sek	93
tous	93
wagadugu	93
wonaano	93
aada	92
alet	92
anniya	92
cosgol	92
dewgal	92
fawi	92
fi?nde	92
fiyakuuji	92
ge?el	92
jamaa	92
jehre	92
jiyaa?o	92
ko?o	92
ldquo	92
majjum	92
mbi’i	92
moritaninaa?e	92
mo??e	92
naata	92
nanngi	92
nji?aa	92
wa?ta	92
yettude	92
bab	91
?eydude	91
biraam	91
fat	91
guwernama	91
jaayndiyankoo?e	91
jerseys	91
joomiraa?o	91
kuuraa	91
mee?aani	91
rokkii	91
sayku	91
sudaan	91
taaniraa?e	91
tumaani	91
barak	90
dentu?e	90
desammbar	90
e?e	90
garal	90
jaayndiyanke	90
jimol	90
ju??ingol	90
kaawisaaji	90
paate	90
palestiin	90
rokka	90
see?to	90
to??e	90
wiy	90
alkule	89
biyeteengal	89
?ooy?o	89
fetel	89
haalii	89
itti	89
joginoo	89
maale	89
mahngo	89
nafooje	89
njoyo	89
sooninkoo?e	89
ummanii	89
yetti	89
afrique	88
ballondiral	88
desaambar	88
israa'iila	88
kii	88
kors	88
liberwiil	88
liggotoo?e	88
mot	88
ne??aagu	88
opitaal	88
teddu?e	88
timmi	88
tuubakiri	88
?eto	87
?eyda	87
?urti	87
?a??aande	87
feeñi	87
kaalii	87
kareeli	87
laamaandi	87
maures	87
ñaagii	87
naamne	87
njalti	87
renndini	87
subal?e	87
tawee	87
tonngol	87
yu??inii	87
dente	86
dowri	86
e?i	86
ils	86
jaambaree?e	86
mba?aa	86
mbar	86
mbeddaaji	86
ngesa	86
pu??iima	86
sida	86
wiynoo	86
yu??ini	86
angalteer	85
bay?e	85
bowte	85
garooje	85
haalaa	85
hammaat	85
ja??aade	85
jibinannde	85
joo?nde	85
juutde	85
konuuji	85
musiiba	85
ñawndude	85
ngona	85
pot?o	85
seede	85
siftorde	85
tolnii	85
alarba	84
artirde	84
banngeeji	84
?eydagol	84
hisnude	84
kaalisaaji	84
karte	84
mbaasa	84
ngardiigu	84
rajooji	84
rewaani	84
san?aaji	84
sariyaaji	84
tawata	84
wooto	84
